Area Name,2013 Q4 Total businesses,2013 Q4 Dept store sales,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 250K to 500K,2013 Q4 Households with Net Asset Value 500K to 750K,2013 Q4 Households with Net Asset Value 750K to 1M,2013 Q4 Households with Net Asset Value 1M to 2M,2013 Q4 Households with Net Asset Value 2M Plus,2013 Q4 Pop Age 0-4,2013 Q4 Pop Age 5-9 ,2013 Q4 Pop Age 10-14,2013 Q4 Pop Age 15-19 ,2013 Q4 Pop Age 20-24,2013 Q4 Pop Age 25-29 ,2013 Q4 Pop Age 30-34,2013 Q4 Pop Age 35-39 ,2013 Q4 Pop Age 40-44,2013 Q4 Pop Age 45-49 ,2013 Q4 Pop Age 50-54,2013 Q4 Pop Age 55-59 ,2013 Q4 Pop Age 60-64,2013 Q4 Pop Age 65-69,2013 Q4 Pop Age 70-74,2013 Q4 Pop Age 75-79,2013 Q4 Pop Age 80-84,2013 Q4 Pop Age 85+,2013 Q4 HHs Age 85+,2013 Q4 HHs Age 75-84,2013 Q4 HHs Age 65-74,2013 Q4 HHs Age 55-64,2013 Q4 HHs Age 45-54,2013 Q4 HHs Age 35-44,2013 Q4 HHs Age 25-34,2013 Q4 HHs Age 15-24 ,2013 Q4 Median HH Age,2013 Q4 Average HH Age,2013 Q4 White Pop Age 0-4,2013 Q4 White Pop Age 5-9,2013 Q4 White Pop Age 10-14,2013 Q4 White Pop Age 15-19,2013 Q4 White Pop Age 20-24,2013 Q4 White Pop Age 25-29,2013 Q4 White Pop Age 30-34,2013 Q4 White Pop Age 35-39,2013 Q4 White Pop Age 40-44,2013 Q4 White Pop Age 45-49,2013 Q4 White Pop Age 50-54,2013 Q4 White Pop Age 55-59,2013 Q4 White Pop Age 60-64,2013 Q4 White Pop Age 65-69,2013 Q4 White Pop Age 70-74,2013 Q4 White Pop Age 75-79,2013 Q4 White Pop Age 80-84,2013 Q4 White Pop Age 85+,2013 Q4 Black Pop Age 0-4,2013 Q4 Black Pop Age 5-9,2013 Q4 Black Pop Age 10-14,2013 Q4 Black Pop Age 15-19,2013 Q4 Black Pop Age 20-24,2013 Q4 Black Pop Age 25-29,2013 Q4 Black Pop Age 30-34,2013 Q4 Black Pop Age 35-39,2013 Q4 Black Pop Age 40-44,2013 Q4 Black Pop Age 45-49,2013 Q4 Black Pop Age 50-54,2013 Q4 Black Pop Age 55-59,2013 Q4 Black Pop Age 60-64,2013 Q4 Black Pop Age 65-69,2013 Q4 Black Pop Age 70-74,2013 Q4 Black Pop Age 75-79,2013 Q4 Black Pop Age 80-84,2013 Q4 Black Pop Age 85+,2013 Q4 Asian Pop Age 0-4,2013 Q4 Asian Pop Age 5-9,2013 Q4 Asian Pop Age 10-14,2013 Q4 Asian Pop Age 15-19,2013 Q4 Asian Pop Age 20-24,2013 Q4 Asian Pop Age 25-29,2013 Q4 Asian Pop Age 30-34,2013 Q4 Asian Pop Age 35-39,2013 Q4 Asian Pop Age 40-44,2013 Q4 Asian Pop Age 45-49,2013 Q4 Asian Pop Age 50-54,2013 Q4 Asian Pop Age 55-59,2013 Q4 Asian Pop Age 60-64,2013 Q4 Asian Pop Age 65-69,2013 Q4 Asian Pop Age 70-74,2013 Q4 Asian Pop Age 75-79,2013 Q4 Asian Pop Age 80-84,2013 Q4 Asian Pop Age 85+,2013 Q4 Hispanic Pop Age 0-4,2013 Q4 Hispanic Pop Age 5-9 ,2013 Q4 Hispanic Pop Age 10-14,2013 Q4 Hispanic Pop Age 15-19 ,2013 Q4 Hispanic Pop Age 20-24,2013 Q4 Hispanic Pop Age 25-29 ,2013 Q4 Hispanic Pop Age 30-34,2013 Q4 Hispanic Pop Age 35-39 ,2013 Q4 Hispanic Pop Age 40-44,2013 Q4 Hispanic Pop Age 45-49 ,2013 Q4 Hispanic Pop Age 50-54,2013 Q4 Hispanic Pop Age 55-59 ,2013 Q4 Hispanic Pop Age 60-64,2013 Q4 Hispanic Pop Age 65-69,2013 Q4 Hispanic Pop Age 70-74,2013 Q4 Hispanic Pop Age 75-79,2013 Q4 Hispanic Pop Age 80-84,2013 Q4 Hispanic Pop Age 85+,2013 Q4 No High School Diploma,2013 Q4 High School Diploma,2013 Q4 Some College,2013 Q4 Bachelors Degree,2013 Q4 Advanced Degree
WICHTA FLS&LWTN (627),"21,377","$1,160,666 ","116,207","13,057","6,231","4,870","12,493","5,651","1,804",965,"1,206","1,229","29,021","28,800","28,000","29,648","32,984","32,213","29,148","25,557","24,519","26,559","28,725","27,388","23,763","19,101","15,003","12,041","8,744","8,710","5,907","14,368","21,867","30,739","31,056","25,937","26,122","7,717",52.1,51.9,"21,523","20,963","20,824","22,539","24,905","26,120","22,510","20,373","20,396","22,871","24,997","23,723","20,731","16,870","13,364","10,743","7,815","7,424","3,141","3,301","3,350","3,793","3,962","3,984","3,490","2,888","2,696","2,811","2,662","2,142","1,501","1,032",793,610,378,305,348,394,347,429,636,668,621,532,478,435,479,487,407,256,164,126,68,29,"7,088","6,508","5,787","5,765","5,733","5,203","4,517","3,769","3,287","3,271","2,852","2,085","1,422",993,693,491,311,204,"44,344","98,615","85,721","35,965","16,826"
MONRO-EL DORADO (628),"22,287","$1,053,375 ","129,697","13,263","6,364","5,037","12,381","5,420","1,619",845,"1,014","1,070","31,176","30,903","31,112","32,508","35,384","32,157","29,731","27,095","26,860","28,732","30,608","30,166","27,296","21,547","16,617","12,834","9,408","9,173","6,225","15,225","24,189","34,148","33,070","27,997","27,103","8,753",52.4,52,"16,408","16,590","17,059","17,515","18,634","17,758","17,204","16,749","16,999","18,556","20,110","20,306","19,325","16,003","12,553","9,729","7,089","6,369","13,374","13,490","13,368","14,447","15,212","13,595","11,873","9,860","9,618","9,986","10,310","9,700","7,734","5,185","3,718","2,818","2,072","2,126",225,223,174,173,415,416,344,278,203,185,177,135,112,62,46,40,17,14,"1,299","1,047",831,889,"1,037","1,030",927,729,626,517,461,374,262,145,121,85,63,44,"62,357","111,546","74,925","35,749","17,647"
BIRMINGHAM (630),"100,729","$4,298,574 ","503,184","61,972","30,925","24,539","62,093","29,653","9,817","5,732","7,350","9,861","121,291","118,137","121,287","125,149","132,040","126,656","122,663","118,806","120,165","125,489","131,526","128,156","116,950","91,155","67,468","49,951","36,469","35,880","23,876","58,250","99,234","144,513","143,560","126,650","115,038","34,005",51.7,51.6,"76,699","77,279","80,993","83,775","87,798","86,027","84,319","84,135","88,056","93,331","97,958","96,045","90,460","73,048","54,667","40,184","28,965","26,832","35,795","35,924","36,970","38,639","37,495","36,601","35,529","32,379","30,335","30,681","32,357","30,989","25,380","16,784","11,222","8,095","5,939","6,134","1,507","1,547","1,269","1,221","1,593","1,951","2,027","1,979","1,669","1,455","1,146",976,797,508,311,205,91,77,"9,607","7,528","5,715","5,601","8,297","9,000","7,835","5,892","4,219","3,233","2,232","1,456",933,615,416,314,214,173,"221,356","390,005","369,028","184,254","106,691"
JOPLIN-PITTSBRG (603),"21,605","$1,217,610 ","116,967","12,169","5,998","4,337","10,461","4,088","1,040",617,545,517,"26,357","27,047","27,602","28,052","28,135","25,533","23,980","22,797","23,117","25,156","27,056","26,107","23,932","19,677","15,247","11,551","8,716","9,703","6,561","13,881","22,209","29,951","29,622","24,540","22,662","7,313",53.1,52.7,"22,835","23,120","24,134","24,830","23,436","22,928","21,530","20,960","21,572","24,151","25,893","24,808","22,419","18,161","13,801","10,591","8,052","8,645",550,638,567,812,889,616,525,405,417,393,404,304,210,144,110,86,67,55,257,302,287,341,418,300,287,289,257,207,185,185,165,76,59,36,27,17,"3,053","2,631","2,078","2,069","1,911","1,778","1,584","1,332","1,093",877,699,482,325,203,155,91,90,52,"40,468","90,706","84,772","30,998","15,628"
COLUMBIA-JF CTY (604),"24,210","$1,221,220 ","121,048","16,377","8,149","6,559","16,740","7,886","2,471","1,370","1,737","1,711","30,673","29,164","28,911","32,615","41,681","37,124","31,475","28,177","28,057","30,324","31,871","30,567","27,280","20,872","15,402","11,571","8,428","9,579","6,521","13,698","23,049","34,521","34,767","29,590","31,339","10,563",50.9,50.8,"24,856","24,827","24,978","28,052","34,910","32,245","27,348","24,827","25,173","27,676","29,400","28,505","25,649","19,556","14,403","10,910","7,784","8,770","2,655","2,474","2,296","2,981","3,661","3,241","2,811","2,359","2,181","2,170","2,062","1,613","1,107",684,450,315,207,218,662,559,473,609,"1,075","1,027",899,799,634,475,381,333,258,175,116,57,42,22,"1,367","1,273","1,028","1,220","1,361","1,041",867,781,643,535,417,281,198,114,99,60,47,42,"38,876","103,134","79,414","54,993","34,310"
TOPEKA (605),"24,791","$773,708 ","128,769","16,139","8,017","5,918","15,938","7,382","2,086","1,088","1,314","1,304","33,443","32,358","30,908","33,116","41,516","38,031","31,847","26,686","25,506","27,716","30,418","30,062","26,800","20,673","15,346","11,872","9,324","11,058","7,631","14,834","23,406","34,868","33,844","28,871","33,480","11,021",51.1,51,"26,616","26,324","24,898","27,373","34,608","33,551","27,384","23,088","22,652","25,206","27,891","27,889","24,779","18,985","14,148","11,071","8,676","10,061","2,624","2,400","2,450","2,796","2,962","2,661","2,446","1,921","1,805","1,863","1,948","1,538","1,056",650,474,358,264,264,467,490,400,500,"1,221","1,054",851,645,512,405,403,386,333,211,133,99,64,58,"5,573","5,052","4,108","3,925","4,254","3,626","3,156","2,617","2,244","1,886","1,568","1,173",870,549,391,319,216,170,"27,366","98,282","96,149","53,182","30,360"
DOTHAN (606),"13,456","$671,628 ","73,921","8,197","4,275","3,303","8,179","3,730","1,158",649,740,785,"16,772","16,955","17,583","16,939","16,074","16,542","16,432","16,025","16,418","17,369","18,132","17,444","16,272","13,599","10,419","7,843","5,507","5,175","3,449","9,092","15,246","20,217","20,152","17,388","15,200","4,193",52.8,52.5,"11,300","11,303","11,933","11,381","10,869","11,956","11,940","11,849","12,386","13,379","13,906","13,601","12,998","11,013","8,415","6,315","4,345","3,829","4,410","4,732","4,868","4,986","4,075","4,055","4,027","3,871","3,728","3,723","3,998","3,565","2,921","2,090","1,478","1,089",737,747,126,159,118,122,115,203,209,197,205,200,181,182,134,92,55,48,23,5,"1,541","1,162",916,768,"1,119","1,338","1,043",772,560,456,360,302,169,128,95,74,51,40,"33,683","58,334","53,616","20,084","11,460"
ST. LOUIS (609),"155,719","$7,188,399 ","748,966","123,262","62,635","51,529","135,343","68,286","23,320","13,425","17,405","21,095","199,298","199,595","206,411","212,451","208,012","210,971","207,362","194,561","199,851","222,031","239,829","225,465","193,604","147,496","108,554","82,643","63,788","70,295","46,893","99,196","160,835","247,710","257,694","208,840","191,170","52,928",52,51.9,"141,387","146,889","155,180","159,429","154,247","162,579","162,162","151,786","160,158","183,586","201,500","190,666","163,679","124,013","91,518","70,727","55,190","59,366","39,530","40,122","42,391","46,594","40,829","37,729","36,585","35,283","34,087","34,020","34,636","31,218","25,371","18,024","12,192","8,788","6,081","5,950","4,731","4,670","4,071","3,886","4,713","6,182","6,806","6,451","5,198","4,305","3,537","3,050","2,651","1,937","1,226",781,462,312,"9,642","8,674","7,012","7,005","7,849","7,908","6,899","6,116","5,132","4,419","3,515","2,373","1,721","1,195",865,677,453,380,"255,768","635,473","669,158","374,455","231,596"
ROCKFORD (610),"23,624","$1,149,348 ","104,431","19,468","10,024","8,118","21,750","11,054","3,539","1,924","2,363","2,173","29,527","31,123","32,770","32,948","29,236","27,830","27,912","28,437","30,838","33,698","35,365","33,459","29,508","23,423","17,470","12,991","9,842","11,266","7,381","15,170","25,137","36,449","37,880","30,645","24,766","7,416",52.8,52.7,"22,574","23,968","26,383","27,439","23,523","23,279","23,780","24,509","27,271","30,210","32,085","30,692","27,118","21,574","16,103","12,029","9,178","10,236","4,029","4,143","4,077","4,050","3,344","3,165","3,165","3,049","2,833","2,850","2,679","2,219","1,686","1,137",782,515,327,296,553,770,713,631,483,602,713,794,696,613,546,450,402,290,187,119,55,39,"6,209","6,244","5,803","4,956","3,882","4,070","4,351","4,164","3,411","2,624","1,881","1,390",982,616,414,266,140,99,"45,116","113,494","99,141","42,034","22,254"
RCH-MASN CY-AUS (611),"24,557","$1,060,343 ","86,058","15,434","7,876","6,626","17,318","8,692","2,876","1,599","1,925","1,822","23,663","24,633","24,521","23,842","20,859","22,151","23,218","21,563","21,570","24,431","27,433","26,329","22,551","17,453","13,705","10,977","8,829","11,213","7,763","13,790","19,982","29,378","29,450","23,222","21,119","5,522",53.6,53.5,"20,421","21,306","21,645","21,749","18,400","20,156","21,126","19,659","20,139","23,293","26,474","25,484","21,840","16,915","13,270","10,670","8,617","10,719","1,242","1,276","1,066",870,799,869,912,775,571,465,410,298,181,107,74,56,33,26,912,913,822,743,638,903,"1,007","1,040",832,668,541,477,339,245,134,107,61,59,"2,652","2,279","1,731","1,560","1,534","1,725","1,540","1,249",997,764,586,423,284,166,145,86,83,53,"22,326","76,752","84,792","44,015","23,538"
SHREVEPORT (612),"51,903","$2,551,378 ","288,989","31,101","15,566","12,056","29,756","13,313","4,075","2,198","2,752","2,908","69,669","70,321","70,456","69,897","69,459","68,483","66,109","61,911","61,685","65,860","69,823","68,126","62,560","50,439","38,734","29,332","20,857","21,147","14,171","34,278","56,625","78,011","76,244","64,993","60,502","17,890",52.6,52.3,"40,355","40,834","41,311","41,192","40,604","43,031","42,335","41,076","41,604","45,513","48,697","48,003","45,382","37,677","29,353","22,355","15,780","15,089","23,919","24,350","24,957","25,711","23,792","22,749","21,368","18,686","18,602","19,375","20,133","19,055","15,898","11,288","8,034","5,847","4,080","4,340",603,604,586,499,518,701,868,901,754,554,505,496,425,270,172,111,48,23,"9,055","7,793","6,753","6,250","6,308","6,342","6,049","5,149","4,253","3,478","2,519","1,823","1,291",795,486,327,216,173,"120,839","249,323","194,987","79,617","40,300"
MINEAPLS-ST. PL (613),"232,259","$9,468,350 ","959,329","181,256","95,132","77,100","221,892","117,278","43,511","23,656","32,189","35,872","301,074","304,680","304,776","306,252","295,047","310,689","311,974","288,750","297,290","324,085","339,308","312,988","265,351","197,112","141,149","103,416","78,040","92,412","62,981","124,103","213,352","341,597","370,044","312,724","288,026","74,388",50.9,51.1,"222,672","233,157","242,900","248,637","234,471","258,740","263,111","245,068","261,903","295,684","314,935","293,097","248,032","182,518","130,296","95,776","72,621","84,905","30,332","28,013","24,868","24,930","21,805","23,171","23,162","21,384","18,826","16,054","14,022","10,477","7,163","4,423","2,731","1,779","1,138",955,"19,768","19,508","18,183","19,369","19,837","21,010","19,800","18,384","14,202","11,152","8,949","7,236","5,685","3,811","2,486","1,640","1,047",919,"30,702","27,298","22,418","20,270","19,317","22,280","22,073","18,582","14,009","10,675","7,515","5,071","3,175","1,896","1,276",912,546,439,"248,714","817,987","974,674","690,407","330,782"
KANSAS CITY (616),"124,901","$5,420,735 ","591,912","91,296","46,487","37,869","98,911","49,518","16,713","9,564","12,201","13,065","166,787","168,870","168,452","166,577","165,206","169,657","168,605","158,600","158,301","167,030","174,097","161,813","140,775","106,506","76,297","56,400","42,491","48,576","33,309","68,203","116,523","181,623","193,739","171,244","159,666","43,229",50.7,50.9,"126,313","130,673","132,344","133,037","128,674","140,310","140,178","132,268","135,146","144,909","152,209","142,253","124,175","92,949","66,019","49,488","37,615","42,288","22,355","22,397","22,830","23,265","20,064","19,991","19,878","18,703","17,808","18,404","18,441","15,933","12,257","8,412","5,794","4,189","2,973","2,860","4,374","4,567","3,899","3,790","4,661","5,537","5,679","5,609","4,463","3,487","2,952","2,528","1,967","1,383",907,550,289,212,"23,857","21,536","17,960","16,003","15,733","17,317","16,871","14,882","11,934","9,493","7,358","5,259","3,679","2,210","1,582","1,179",889,651,"163,376","462,536","487,187","329,970","186,079"
MILWAUKEE (617),"112,552","$4,766,307 ","537,377","85,924","44,971","38,065","105,038","54,216","18,453","10,256","13,101","13,528","149,777","151,959","156,448","160,745","155,262","154,066","151,188","142,199","148,702","162,979","172,893","161,735","137,844","100,537","71,440","54,406","43,850","51,998","35,561","67,662","109,475","179,021","189,397","156,277","143,067","40,469",51.4,51.4,"103,148","108,638","114,952","120,619","116,178","121,800","122,573","116,139","125,038","140,943","152,175","143,690","122,895","89,638","64,039","49,577","40,451","47,845","28,120","28,069","28,684","29,915","25,305","22,903","21,572","20,288","19,289","18,554","17,811","15,207","11,664","7,553","5,105","3,437","2,291","2,061","5,850","5,616","5,217","5,319","5,266","5,880","5,665","5,056","4,057","3,299","2,658","2,246","1,764","1,214",808,506,345,282,"28,171","26,372","22,645","20,145","18,627","20,063","19,537","16,874","13,590","10,898","8,821","6,144","4,140","2,573","1,750","1,295",885,577,"170,768","478,388","461,938","293,219","149,524"
HOUSTON (618),"281,940","$12,339,170 ","1,377,410","213,380","109,726","94,011","241,595","127,786","48,128","28,287","38,196","48,949","496,240","504,556","497,505","479,457","455,799","475,533","486,446","474,958","464,013","454,195","450,378","409,382","338,871","245,915","166,570","113,728","78,184","76,494","49,700","124,335","247,371","420,086","479,099","474,169","421,850","110,858",48.3,48.8,"351,049","361,584","353,575","339,206","312,032","345,918","357,642","347,232","341,810","338,700","341,165","312,166","259,947","187,499","125,942","87,428","60,810","57,953","87,627","92,012","95,561","97,113","85,496","86,715","88,326","86,446","82,755","80,285","77,002","66,575","49,957","32,748","21,279","14,666","10,028","8,870","29,105","30,642","29,184","27,720","27,824","32,964","36,310","39,125","37,425","33,403","30,185","27,184","21,956","14,850","9,055","5,347","3,219","2,358","249,072","241,100","219,421","205,287","193,587","208,932","206,030","192,075","163,145","138,991","110,460","79,864","54,657","34,718","23,114","15,638","9,753","6,760","828,646","1,039,529","1,171,527","792,434","402,531"
SPRINGFIELD  MO (619),"57,290","$2,603,138 ","308,518","35,475","18,111","13,635","33,676","15,172","4,371","2,331","2,717","2,739","65,568","65,701","67,166","71,029","74,940","68,858","63,594","60,155","62,350","68,660","74,054","72,866","70,415","61,642","49,291","36,931","25,526","25,487","17,113","42,178","69,429","84,762","80,179","64,906","59,502","18,676",54.4,53.6,"59,505","60,568","62,749","66,077","66,327","64,386","59,578","56,866","59,667","66,510","72,007","70,874","68,515","59,829","47,129","35,016","23,888","22,579","1,500","1,555","1,579","2,224","2,480","2,119","1,992","1,698","1,445","1,244","1,117",770,544,327,220,133,79,79,556,659,650,735,"1,122",930,825,811,734,653,640,525,408,273,222,125,79,57,"4,704","4,106","3,734","3,866","3,921","3,309","2,941","2,442","1,980","1,725","1,345",954,682,561,368,224,158,127,"108,390","268,623","222,677","92,769","47,370"
GREEN BAY-APLTN (658),"57,977","$2,126,715 ","269,153","48,248","24,372","20,573","51,959","23,299","7,120","3,651","4,357","3,931","67,681","70,041","72,596","74,779","70,487","69,078","69,276","66,200","71,522","81,925","87,432","82,068","70,717","54,114","40,212","30,621","23,868","27,671","18,834","37,328","59,687","90,902","95,295","73,429","63,185","18,003",52.7,52.6,"58,135","61,412","65,000","67,891","61,469","63,409","64,279","62,170","68,526","79,354","85,070","80,009","68,444","51,928","38,520","29,516","23,046","25,982","1,591","1,437","1,444","1,407","1,373","1,553","1,582","1,342","1,060",905,740,473,248,122,60,38,19,15,"2,404","2,316","2,130","2,642","2,393","2,267","1,660","1,431","1,231","1,071",845,659,550,322,254,150,102,84,"7,210","6,363","5,089","4,537","4,083","4,354","4,208","3,631","2,791","2,064","1,549","1,054",666,400,233,172,105,81,"76,070","294,952","233,778","120,132","49,772"
NASHVILLE (659),"130,744","$5,714,712 ","704,469","93,705","46,656","37,195","90,889","43,259","14,784","8,281","10,568","13,501","184,749","183,622","182,458","178,731","185,290","191,700","189,713","182,221","183,369","189,891","190,611","176,428","156,895","122,871","89,439","64,245","44,474","44,123","29,558","73,564","133,119","196,928","213,120","194,904","175,432","46,682",50.4,50.6,"140,762","140,929","143,376","143,086","144,479","155,953","155,751","150,852","154,427","162,116","163,985","153,646","138,950","109,529","79,541","56,420","38,747","36,814","27,532","27,853","28,312","28,760","27,953","28,218","27,576","25,445","24,168","23,826","23,160","19,650","14,959","9,938","6,666","4,687","3,200","3,102","3,790","4,103","3,454","3,184","3,446","4,542","4,920","4,748","4,135","3,405","2,926","2,481","1,877","1,246",730,416,257,115,"22,686","18,670","14,133","12,684","16,196","18,694","17,181","13,542","9,856","7,115","5,091","3,337","2,228","1,323",822,533,325,281,"288,084","599,416","488,674","295,862","153,944"
SAN ANGELO (661),"7,690","$384,639 ","39,057","4,455","2,310","1,922","4,857","2,716",832,514,647,706,"10,181","9,836","9,514","10,315","11,829","11,371","9,658","8,371","8,266","9,040","9,757","9,692","8,940","7,176","5,577","4,471","3,368","3,362","2,251","5,342","8,062","11,071","10,504","8,670","9,283","2,833",52.8,52.3,"8,795","8,733","8,515","9,200","10,233","10,361","8,914","7,836","7,802","8,609","9,290","9,277","8,560","6,840","5,325","4,296","3,215","3,137",475,448,411,629,704,572,384,274,297,328,349,311,248,168,135,96,68,64,86,93,104,99,154,154,126,123,93,97,92,80,78,45,34,14,6,2,"5,373","5,108","4,600","5,022","4,815","4,344","3,596","3,484","3,573","3,611","3,206","2,691","2,117","1,500","1,052",841,579,434,"19,167","31,019","28,626","13,998","6,239"
ABILENE-SWTWATR (662),"16,470","$767,363 ","83,494","8,932","4,478","3,650","9,265","4,378","1,402",833,979,"1,113","20,208","20,346","20,025","21,173","23,372","22,299","19,649","17,684","17,574","19,137","20,685","19,998","18,258","15,040","12,082","9,664","7,149","7,384","4,868","11,317","16,913","22,284","21,598","17,716","18,049","5,779",53.2,52.7,"17,130","17,193","17,211","18,290","19,122","19,740","17,375","15,783","15,995","17,700","19,311","18,831","17,397","14,294","11,561","9,246","6,837","6,927","1,434","1,500","1,375","1,646","2,149","1,953","1,660","1,414","1,245","1,198","1,147",933,619,479,332,243,141,148,168,216,206,247,329,313,270,249,248,200,200,202,179,101,60,49,31,13,"7,862","7,214","6,632","6,613","6,498","6,008","4,907","4,635","4,365","4,394","3,757","3,052","2,453","1,702","1,141",886,526,336,"38,405","67,704","62,151","26,805","11,538"
PEORIA-BLMINGTN (675),"30,713","$1,609,726 ","145,413","25,862","13,403","11,410","29,766","15,346","4,971","2,836","3,603","3,857","41,547","41,019","41,295","44,563","49,005","44,499","41,797","39,628","39,794","42,056","44,682","43,721","39,047","29,728","22,071","16,886","13,156","15,497","10,522","20,752","33,085","49,665","49,066","42,285","39,075","12,017",52.1,52,"32,115","32,936","34,340","37,291","40,406","38,015","35,378","34,006","35,102","38,109","41,050","40,658","36,592","27,823","20,813","16,067","12,516","14,476","4,896","4,632","4,743","5,236","4,677","4,115","3,986","3,638","3,348","3,091","2,930","2,515","1,787","1,083",697,453,321,330,"1,548","1,316",913,790,"1,131","1,878","2,113","1,808","1,252",844,636,468,402,283,173,114,60,45,"2,604","2,448","2,086","2,284","2,354","2,048","1,955","1,551","1,259","1,046",824,602,419,238,160,127,97,75,"43,224","135,994","133,792","80,603","38,949"
DULUTH-SUPERIOR (676),"26,464","$813,330 ","108,862","16,985","8,784","6,851","18,484","8,831","2,614","1,325","1,711","1,310","22,971","22,806","23,372","26,735","28,652","25,484","23,415","21,870","23,082","26,868","31,574","33,248","30,657","23,584","17,546","13,263","10,213","11,846","8,154","16,169","26,173","38,330","33,232","24,084","22,390","7,225",55.2,54.1,"19,281","19,487","20,615","23,574","23,929","23,299","21,137","19,944","21,732","25,823","30,506","32,120","29,294","22,254","16,570","12,618","9,816","11,009",383,382,339,499,628,568,526,462,379,343,274,179,96,51,34,21,12,14,157,208,187,348,536,316,208,214,200,173,134,144,98,68,35,33,14,12,716,686,510,638,513,397,385,288,248,255,246,168,104,72,61,41,28,17,"23,534","94,025","105,549","47,354","22,188"
WICHTA-HTCH PLS (678),"72,596","$2,341,511 ","313,673","44,448","21,383","16,602","42,372","18,780","5,369","2,961","3,611","3,793","83,587","86,111","86,226","86,032","81,310","79,804","76,230","70,332","69,997","76,409","84,346","82,019","70,644","53,269","39,993","32,199","25,615","30,242","20,524","39,950","59,814","91,981","91,597","75,482","72,270","21,374",52.4,52.2,"70,573","71,607","72,656","73,786","66,889","70,233","67,392","62,648","63,366","70,322","78,407","76,740","65,650","48,795","36,741","30,149","24,065","27,814","5,553","5,184","5,007","5,532","5,230","5,057","4,479","3,817","3,755","4,096","4,088","3,158","2,278","1,578","1,180",896,628,537,"1,986","2,220","2,030","2,087","2,339","2,587","2,339","2,483","2,250","1,820","1,680","1,562","1,293",799,479,333,164,142,"22,167","20,113","17,951","16,064","14,105","13,848","13,011","11,920","10,243","8,341","6,407","4,445","3,009","2,006","1,348",980,683,546,"103,466","238,217","261,612","128,525","59,279"
DES MOINES-AMES (679),"64,104","$2,338,227 ","267,831","42,667","21,931","18,423","48,421","24,024","8,374","4,659","5,517","5,998","74,710","75,262","75,079","76,692","79,061","77,375","74,682","68,740","69,272","73,270","77,281","74,189","65,099","49,368","37,156","28,969","22,917","27,883","19,001","35,894","55,626","84,271","86,325","75,118","71,338","20,272",51.6,51.7,"64,407","66,043","66,889","68,764","68,978","70,700","68,327","63,398","64,890","69,643","74,092","71,629","62,892","47,264","35,720","28,000","22,081","26,358","3,987","3,724","3,484","3,479","3,372","3,012","2,927","2,518","2,252","2,063","1,896","1,465","1,066",662,458,326,245,241,"2,174","2,250","1,891","2,093","3,083","3,099","2,892","2,507","2,014","1,537","1,218",995,774,553,347,232,143,97,"8,949","7,648","6,636","5,808","5,851","5,828","5,306","4,717","3,807","2,842","2,082","1,404",958,551,358,214,164,138,"67,843","234,306","231,074","149,644","63,334"
DAVNPRT-RI-MLNE (682),"43,256","$1,747,767 ","189,609","31,633","15,986","13,008","34,328","16,369","5,052","2,733","3,172","2,828","46,304","48,138","49,808","50,414","46,740","45,420","45,535","44,178","46,078","50,802","56,238","56,077","51,475","40,638","31,081","23,598","18,166","21,515","14,506","28,597","45,508","64,290","60,637","48,127","41,172","11,881",54.3,53.7,"38,896","40,834","43,258","44,872","40,355","40,972","41,171","40,236","42,901","47,964","53,614","53,774","49,399","38,716","29,761","22,730","17,568","20,350","3,658","3,457","3,389","3,341","2,965","2,899","2,873","2,721","2,354","2,253","2,012","1,692","1,308",912,613,409,269,274,800,795,724,676,643,861,894,922,713,565,506,495,419,272,173,103,54,35,"6,883","6,591","6,049","5,517","4,335","4,288","4,242","3,940","3,357","2,859","2,498","1,973","1,355",913,720,514,371,294,"62,584","185,676","171,008","74,975","36,558"
MOBILE-PNS(FWB) (686),"74,978","$3,653,821 ","343,747","47,501","24,263","19,626","51,061","25,524","8,677","4,705","6,332","7,180","87,852","86,758","88,131","91,985","96,697","94,174","87,742","81,976","84,237","93,518","100,105","94,726","85,611","69,272","52,869","39,052","27,216","26,133","17,418","44,612","76,248","105,645","106,633","85,647","79,032","23,381",52.6,52.2,"55,732","56,153","58,230","61,842","64,535","66,501","61,932","59,542","63,316","71,717","77,099","73,368","68,579","56,343","42,837","31,626","21,972","20,047","23,275","23,500","24,471","25,850","23,351","21,999","20,948","18,647","18,265","19,573","20,736","18,682","14,289","10,051","7,443","5,300","3,580","3,477","1,386","1,525","1,581","1,914","2,317","2,434","2,195","2,269","2,143","1,968","1,996","1,972","1,552","1,066",651,391,233,125,"6,478","5,089","4,249","5,046","6,330","5,925","4,988","3,952","3,513","3,373","2,781","1,817","1,268",900,692,512,334,234,"130,855","290,825","299,278","140,341","75,332"
