Area Name,2013 Q4 Total businesses,2013 Q4 Households with Net Asset Value Up to 25K,2013 Q4 Households with Net Asset Value 25K to 50K,2013 Q4 Households with Net Asset Value 50K to 75K,2013 Q4 Households with Net Asset Value 100K to 250K,2013 Q4 Households with Net Asset Value 75K to 100K,2013 Q4 Male Age 15-19 ,2013 Q4 Male Age 20-24,2013 Q4 Male Age 25-29 ,2013 Q4 Male Age 30-34,2013 Q4 Male Age 35-39 ,2013 Q4 Male Age 40-44 ,2013 Q4 Male Age 45-49,2013 Q4 Male Age 50-54,2013 Q4 Male Age 55-59 ,2013 Q4 Male Age 60-64,2013 Q4 Male Age 65-69 ,2013 Q4 Female Age 20-24,2013 Q4 Female Age 15-19 ,2013 Q4 Female Age 25-29 ,2013 Q4 Female Age 30-34,2013 Q4 Female Age 35-39 ,2013 Q4 Female Age 40-44,2013 Q4 Female Age 45-49 ,2013 Q4 Female Age 50-54,2013 Q4 Female Age 55-59,2013 Q4 Female Age 60-64 ,2013 Q4 Female Age 65-69,2013 Q4 Average HH Income Age15-24,2013 Q4 Average HH Income Age 25-34,2013 Q4 Average HH Income Age 35-44,2013 Q4 Average HH Income Age 45-54,2013 Q4 Average HH Income Age 55-64,2013 Q4 Average HH Income Age 65-74,2013 Q4 HHs Age 15-24 Income 20k-25k,2013 Q4 HHs Age 15-24 Income 15k-20k,2013 Q4 HHs Age 15-24 Income 25k-30k,2013 Q4 HHs Age 15-24 Income 30k-35k,2013 Q4 HHs Age 15-24 Income 35k-40k,2013 Q4 HHs Age 15-24 Income 45k-50k ,2013 Q4 HHs Age 15-24 Income 40k-45k,2013 Q4 HHs Age 15-24 Income 50k-60k,2013 Q4 HHs Age 15-24 Income 60k-75k,2013 Q4 HHs Age 15-24 Income 75k-100k,2013 Q4 HHs Age 15-24 Income 100k-125k,2013 Q4 HHs Age 15-24 Income 125k-150k,2013 Q4 HHs Age 15-24 Income 10k-15k,2013 Q4 HHs Age 15-24 Income 150k-200k,2013 Q4 HHs Age 15-24 Income Above 200k,2013 Q4 Median White Pop Age,2013 Q4 Median African American Pop Age,2013 Q4 Median Asian Pop Age,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 Vacant HUs,2013 Q4 Seasonal HUs,2013 Q4 Unemployed,2013 Q4 Male Unemployed,2013 Q4 Female Unemployed,2013 Q4 Pop,2013 Q4 HHs,2013 Q4 Group Quarters,2013 Q4 HUs,HH Growth 2013 Q4 To 2018 Q4,2013 Q4 Median HH Age,2013 Q4 Median HH Income,2013 Q4 Median HU Value,Pop Growth 2013 Q4 To 2018 Q4,2013 Q4 Pop Below Age 19,2013 Q4 Pop Age 20-64,2013 Q4 Pop Age 65+,2013 Q4 White ,2013 Q4 Black ,2013 Q4 Hispanic ,2013 Q4 Native American ,2013 Q4 Asian ,2013 Q4 Pacific Islander,2013 Q4 Two Or More Races,2013 Q4 Hispanic HHs,2013 Q4 White Households,2013 Q4 African American Households,2013 Q4 Asian Households,2018 Q4 Pop,2018 Q4 HHs,2018 Q4 Group Quarters,2018 Q4 HUs,2018 Q4 Median HH Age,2018 Q4 Median HH Income,2018 Q4 Median HU Value,2018 Q4 Pop Below Age 19,2018 Q4 Pop Age 20-64,2018 Q4 Pop Age 65+,2018 Q4 White ,2018 Q4 Black ,2018 Q4 Hispanic ,2018 Q4 Native American ,2018 Q4 Asian ,2018 Q4 Pacific Islander ,2018 Q4 Two Or More Races,2018 Q4 Hispanic HHs,2018 Q4 White Households,2018 Q4 African American Households,2018 Q4 Asian Households,2010 Census Pop,2010 Census HHs ,2010 Census Group Quarters,2010 Census HUs,HH Growth 2010 Census To 2013 Q4,2010 Census Median HH Age,2010 Census Median HH Income,2010 Census Median HU Value,Pop Growth 2010 Census To 2013 Q4,2010 Census Pop Age Below 19,2010 Census Pop Age 20-64,2010 Census Pop Age 65+,2010 Census White ,2010 Census Black ,2010 Census Hispanic ,2010 Census Native American ,2010 Census Asian ,2010 Census Pacific Islander ,2010 Census Two Or More Races,2010 Census Hispanic HHs,2010 Census White Households,2010 Census African American Households,2010 Census Asian Households,2000 Census Pop,2000 Census HHs ,2000 Census Group Quarters,2013 Q4 HUs,2013 Q4 Owner Occupied HUs,2013 Q4 Renter Occupied HUs,2013 Q4 HU Value Less Than 100k,2013 Q4 HU Value 100k-200k,2013 Q4 HU Value 200k-300k,2013 Q4 HU Value 300k-400k,2013 Q4 HU Value 400k-500k ,2013 Q4 HU Value 500k-1mil,2013 Q4 HU Value Above 1mil,2018 Q4 HUs,2018 Q4 Owner Occupied HUs,2018 Q4 Renter Occupied HUs,2018 Q4 HU Value Less Than 100k,2018 Q4 HU Value 100k-200k,2018 Q4 HU Value 200k-300k,2018 Q4 HU Value 300k-400k,2018 Q4 HU Value 400k-500k ,2018 Q4 HU Value 500k-1mil,2018 Q4 HU Value Above 1mil,2010 Census HUs,2010 Census Owner Occupied HUs,2010 Census Renter Occupied HUs,2010 Census HU Value Less Than 100k,2010 Census HU Value 100k-200k,2010 Census HU Value 200k-300k,2010 Census HU Value 300k-400k,2010 Census HU Value 400k-500k ,2010 Census HU Value 500k-1mil,2010 Census HU Value Above 1mil
MEMPHIS (640),"83,532","478,642","54,002","26,332","53,687","21,224","68,277","65,689","61,692","59,495","57,213","57,656","59,893","60,616","56,582","49,529","36,832","65,279","65,861","62,937","62,156","60,138","61,193","64,104","66,108","63,243","55,707","42,569","$54,195 ","$54,265 ","$58,579 ","$60,290 ","$60,264 ","$59,735 ","2,381","2,395","2,031","1,924","1,845","1,420","1,515","2,573","2,824","3,175","1,796","1,039","2,745",803,768,40.8,31.3,33.8,"439,493","251,540","85,595","7,127","84,558","43,339","41,219","1,841,786","691,033","46,812","776,628",2%,50.6,"$41,537 ","$122,178 ",2%,517667,1089230,234889,"1,004,824","776,944","82,785","6,603","28,897","1,413","23,105","20,272","398,432","274,752","9,189","1,872,451","702,682","46,812","785,592",51.9,"$41,753 ","$123,105 ",504727,1082585,285139,"1,022,472","788,469","84,799","6,712","29,790","1,454","23,554","20,795","405,850","278,613","9,415","1,821,069","683,303","46,507","771,926",1%,49.9,"$41,383 ","$123,983 ",1%,530035,1082416,208618,"995,250","769,825","78,237","6,194","27,527","1,244","21,029","18,993","395,299","271,785","8,628","1,718,499","639,576","38,761","776,628","439,493","251,540","187,271","146,428","57,661","22,182","11,945","11,399","2,607","785,592","445,615","257,067","188,427","148,801","59,043","22,713","12,281","11,670","2,680","771,926","438,224","245,079","183,012","150,522","61,269","20,151","10,205","10,755","2,310"
AMARILLO (634),"31,366","139,513","16,171","8,401","17,740","6,674","20,678","20,837","20,677","19,680","17,979","17,292","17,751","18,172","17,208","14,663","10,932","19,117","19,463","18,664","17,761","16,354","15,816","16,454","17,446","16,922","14,790","11,688","$54,581 ","$55,387 ","$59,165 ","$60,716 ","$61,985 ","$61,928 ",778,819,718,637,501,419,517,812,997,"1,112",621,306,864,256,179,36.1,29.3,28.8,"136,782","68,841","23,911","3,161","12,769","6,908","5,861","554,938","205,623","19,407","229,534",4%,50.9,"$44,685 ","$96,286 ",4%,163189,317583,74166,"497,837","28,163","185,091","7,880","10,956",581,"9,521","52,210","187,790","8,550","3,303","575,703","213,600","19,407","237,478",51.6,"$45,304 ","$97,045 ",161495,326359,87849,"516,690","29,006","191,183","8,159","11,358",610,"9,880","53,958","195,404","8,968","3,390","539,995","199,941","19,301","227,122",3%,49.8,"$43,085 ","$93,190 ",3%,162341,309190,68464,"487,451","26,207","176,048","7,025","10,224",455,"8,633","49,417","184,162","7,607","2,913","511,247","189,774","18,461","229,534","136,782","68,841","71,028","44,740","12,761","3,977","1,744","1,854",678,"237,478","141,920","71,680","73,120","46,892","13,345","4,132","1,831","1,916",684,"227,122","133,558","66,383","71,658","43,768","10,858","3,544","1,742","1,415",573
AUSTIN (635),"95,343","460,619","69,923","35,959","83,288","30,549","69,175","76,896","83,113","83,565","79,625","75,240","70,002","65,124","57,289","48,536","35,661","74,601","65,647","80,616","80,606","76,133","72,040","68,452","65,644","60,123","51,885","38,686","$65,870 ","$66,911 ","$78,857 ","$84,093 ","$84,562 ","$84,090 ","2,496","2,001","1,969","2,056","2,067","1,528","1,929","2,874","3,720","4,383","2,889","1,649","2,477","1,603","1,562",35.5,31.7,32,"466,422","314,776","42,516","15,252","60,994","34,100","26,894","2,045,155","781,198","43,700","823,714",14%,46.7,"$58,160 ","$192,328 ",14%,565732,1269490,209933,"1,721,806","154,783","631,030","25,559","96,443","2,349","44,215","178,540","669,036","57,263","33,072","2,322,205","888,889","43,700","952,156",48.6,"$58,864 ","$193,038 ",633315,1399396,289494,"1,952,901","176,353","717,514","28,989","110,821","2,677","50,464","203,707","760,034","65,837","38,010","1,858,852","708,842","43,595","784,065",10%,45.3,"$55,431 ","$186,997 ",10%,521882,1166920,170050,"1,570,507","138,661","564,558","23,033","85,802","1,950","38,899","158,853","609,857","50,796","29,065","1,371,382","520,674","36,051","823,714","466,422","314,776","65,901","181,210","94,821","53,166","30,145","33,682","7,497","952,156","528,561","360,328","72,535","206,091","108,022","60,713","34,413","38,326","8,461","784,065","425,266","283,576","60,767","174,563","90,871","43,778","23,274","25,525","6,488"
SIOUX CITY (624),"27,011","101,147","15,463","7,787","16,542","6,428","15,147","14,150","12,911","12,205","11,310","11,517","12,749","14,534","14,624","12,640","9,402","13,147","14,398","11,812","11,612","11,043","11,128","12,641","14,404","14,331","12,536","9,734","$57,368 ","$57,738 ","$60,014 ","$61,547 ","$62,670 ","$62,387 ",431,475,412,424,394,294,368,617,811,837,442,178,490,149,126,40.4,23.7,29.8,"116,195","45,353","20,415","6,333","10,010","5,497","4,513","411,559","161,548","12,224","181,963",0%,54.1,"$47,201 ","$101,045 ",0%,113257,229294,69008,"384,210","5,746","40,779","9,501","5,898",526,"5,678","9,470","154,079","1,969","1,676","412,218","161,730","12,224","182,613",55.1,"$47,965 ","$101,993 ",108183,227178,76857,"384,764","5,756","40,923","9,540","5,943",531,"5,684","9,514","154,321","1,918","1,667","411,095","161,391","12,324","181,413",0%,52.5,"$44,774 ","$98,610 ",0%,116568,228478,66049,"384,688","5,384","39,218","9,705","5,552",457,"5,309","9,076","154,647","1,710","1,461","417,944","159,468","13,260","181,963","116,195","45,353","57,708","37,289","12,103","4,277","1,998","2,179",641,"182,613","116,259","45,471","57,384","37,411","12,224","4,330","2,052","2,201",657,"181,413","116,304","45,087","58,971","38,705","11,703","3,495","1,255","1,720",455
WACO-TEMPL-BRYN (625),"39,748","258,143","27,992","14,191","28,912","11,380","38,975","54,316","47,445","37,229","30,653","27,931","28,116","28,092","25,579","22,412","17,392","49,771","37,108","44,493","36,201","31,108","29,501","29,794","29,973","27,746","24,362","19,192","$47,794 ","$50,810 ","$59,364 ","$62,122 ","$62,895 ","$63,787 ","1,957","1,942","1,800","1,383","1,484","1,088","1,242","1,909","1,993","2,400","1,308",747,"2,078",613,404,32.8,29.1,30.3,"213,471","155,883","41,629","8,102","30,047","15,770","14,277","1,012,241","369,354","49,597","410,983",5%,47.4,"$42,469 ","$123,566 ",5%,292341,604722,115178,"777,207","166,944","225,242","10,203","27,561","4,041","26,285","61,564","289,417","59,326","9,771","1,061,379","387,829","49,597","424,604",47.9,"$42,259 ","$124,156 ",301614,623160,136605,"813,749","175,567","236,267","10,693","29,266","4,305","27,799","64,745","302,993","62,870","10,323","976,405","355,637","50,256","399,699",4%,46,"$43,000 ","$112,599 ",4%,289723,582997,103685,"751,436","161,844","210,900","9,411","25,409","3,809","24,496","57,323","280,032","56,938","8,779","833,556","296,582","52,974","410,983","213,471","155,883","88,770","76,233","27,980","10,697","4,325","4,264","1,202","424,604","223,413","164,416","92,345","80,152","29,452","11,235","4,532","4,458","1,239","399,699","205,801","149,836","93,346","75,835","22,288","7,470","3,292","2,739",831
VICTORIA (626),"4,838","22,061","2,863","1,561","3,134","1,122","3,248","2,974","2,934","2,870","2,672","2,528","2,717","3,038","2,909","2,551","1,987","2,961","3,106","3,003","2,946","2,712","2,654","2,922","3,191","3,119","2,785","2,199","$55,606 ","$55,873 ","$59,642 ","$61,456 ","$62,904 ","$62,282 ",118,110,104,91,97,35,80,153,121,196,119,36,83,25,21,37.5,32.7,35.2,"22,037","11,649","1,795",173,"2,444","1,249","1,195","90,757","33,686","1,508","35,481",7%,52.1,"$47,473 ","$116,064 ",7%,26037,51486,13234,"81,555","6,121","40,403",772,"1,052",72,"1,185","12,363","30,423","2,236",348,"96,839","35,987","1,508","37,786",53.2,"$46,518 ","$115,462 ",26655,53925,16259,"87,021","6,530","43,110",825,"1,123",76,"1,264","13,205","32,518","2,470",358,"86,793","32,187","1,508","35,417",5%,51.3,"$48,271 ","$113,616 ",5%,25464,49665,11664,"78,193","5,827","38,113",688,963,61,"1,061","11,617","29,176","2,110",305,"84,051","30,058","1,482","35,481","22,037","11,649","9,525","9,297","1,916",751,328,175,45,"37,786","23,515","12,472","10,230","9,879","2,031",797,343,188,47,"35,417","21,144","11,043","9,463","8,145","2,488",574,172,81,221
WICHTA FLS&LWTN (627),"21,377","116,207","13,057","6,231","12,493","4,870","15,873","18,128","17,364","15,471","13,339","12,545","13,497","14,384","13,553","11,649","9,096","14,856","13,775","14,849","13,677","12,218","11,974","13,062","14,341","13,835","12,114","10,005","$56,121 ","$56,097 ","$58,312 ","$59,178 ","$59,656 ","$59,512 ",593,486,484,589,373,399,454,599,742,791,503,249,554,144,154,38.7,29.9,35.1,"105,488","58,225","28,136","4,004","10,892","5,406","5,486","429,924","163,713","25,462","191,849",-1%,52.1,"$43,947 ","$90,569 ",-1%,115469,250856,63599,"348,691","42,839","59,979","14,931","6,904","1,070","15,489","16,329","137,281","15,268","2,320","427,279","162,604","25,462","192,756",53.1,"$44,711 ","$90,588 ",111400,244866,71013,"345,740","43,061","59,545","14,953","6,933","1,081","15,511","16,212","135,886","15,378","2,290","430,487","163,981","25,461","190,975",0%,50.7,"$41,162 ","$86,462 ",0%,118806,251598,60083,"351,000","42,278","58,109","14,658","6,630",967,"14,954","15,768","138,538","14,824","2,143","423,056","158,297","19,918","191,849","105,488","58,225","58,236","31,734","9,965","3,106",715,"1,184",548,"192,756","104,462","58,142","57,657","31,417","9,915","3,071",700,"1,157",545,"190,975","106,085","57,896","61,347","31,846","8,789","2,147",707,"1,071",178
MONRO-EL DORADO (628),"22,287","129,697","13,263","6,364","12,381","5,037","16,614","17,961","16,332","15,067","13,516","13,289","14,133","14,913","14,562","13,096","10,117","17,423","15,894","15,825","14,664","13,579","13,571","14,599","15,695","15,604","14,200","11,430","$46,642 ","$47,913 ","$50,296 ","$50,843 ","$50,763 ","$51,556 ",621,760,578,496,376,346,306,536,714,654,492,185,907,183,121,41.3,30.3,29.9,"118,424","58,286","30,289","7,652","16,915","9,808","7,107","463,307","176,710","22,927","206,999",-1%,52.4,"$33,542 ","$86,948 ",-1%,125699,268029,69579,"284,956","168,486","10,487","1,610","3,239",210,"4,806","2,836","115,110","58,426","1,098","460,118","175,388","22,927","208,806",53.3,"$32,901 ","$87,242 ",121375,260221,78522,"282,900","167,384","10,382","1,593","3,253",209,"4,779","2,818","114,366","57,889","1,084","465,795","177,741","22,927","205,453",-1%,51.7,"$35,737 ","$86,619 ",-1%,130041,270873,64881,"287,892","168,967","9,853","1,442","2,995",186,"4,313","2,662","116,401","58,617",978,"471,764","175,176","19,380","206,999","118,424","58,286","68,100","32,939","10,352","3,980",986,"1,383",684,"208,806","117,350","58,038","67,255","32,755","10,315","3,988",996,"1,362",679,"205,453","119,149","58,592","68,777","34,115","10,306","2,559",985,"1,536",871
BIRMINGHAM (630),"100,729","503,184","61,972","30,925","62,093","24,539","64,011","66,031","62,160","59,927","58,220","58,946","61,372","63,549","61,225","55,371","42,497","66,009","61,138","64,496","62,736","60,586","61,219","64,117","67,977","66,931","61,579","48,658","$53,626 ","$55,159 ","$59,813 ","$60,832 ","$60,479 ","$59,786 ","2,612","2,488","2,074","1,832","1,612","1,354","1,597","2,621","2,908","3,407","2,076",953,"2,871",794,675,40.8,33.1,32.7,"522,742","222,384","108,515","16,684","60,477","31,802","28,675","1,889,238","745,126","46,357","853,641",1%,51.7,"$42,777 ","$136,016 ",1%,485864,1122451,280923,"1,350,571","487,248","73,280","7,934","20,329","1,715","21,441","18,563","542,539","185,582","7,004","1,908,388","752,513","46,357","860,173",53,"$43,523 ","$136,888 ",482389,1096137,329862,"1,365,424","490,860","74,380","7,996","20,735","1,727","21,646","18,849","548,625","186,630","7,118","1,876,914","740,239","46,755","848,091",1%,50.9,"$41,094 ","$131,283 ",1%,494578,1127956,254380,"1,347,753","481,010","69,890","7,455","19,064","1,577","20,055","17,667","542,008","182,928","6,332","1,763,575","694,090","40,137","853,641","522,742","222,384","194,487","185,704","72,070","33,259","14,007","17,534","5,681","860,173","527,652","224,861","194,532","187,850","73,358","33,930","14,409","17,836","5,737","848,091","520,062","220,177","204,618","177,134","78,175","29,604","10,607","15,192","4,732"
SAN ANTONIO (641),"107,065","587,143","81,547","40,820","85,173","33,624","99,096","97,837","94,721","88,562","83,154","82,606","84,680","83,141","74,798","65,599","50,723","90,276","93,043","89,588","86,909","84,921","85,072","87,248","87,108","81,522","73,298","57,481","$60,575 ","$59,914 ","$65,284 ","$67,807 ","$67,962 ","$67,564 ","2,999","2,939","2,650","2,577","2,405","1,949","2,374","3,705","4,439","4,846","3,075","1,624","2,700","1,543","1,142",35.9,32.1,34.4,"597,191","327,593","64,115","16,697","79,458","43,105","36,353","2,606,023","924,784","66,124","988,899",8%,50,"$48,130 ","$131,644 ",8%,754270,1521040,330713,"2,297,371","172,002","1,436,021","30,432","54,975","4,289","46,954","437,261","816,472","63,223","18,132","2,820,692","1,002,737","66,124","1,071,024",51.2,"$48,098 ","$132,315 ",777927,1625671,417094,"2,485,436","186,891","1,551,710","32,944","59,768","4,657","50,996","473,399","885,342","70,151","19,688","2,458,268","871,132","66,133","970,283",6%,49.4,"$48,080 ","$129,155 ",6%,735533,1437511,285224,"2,173,842","159,536","1,351,229","27,739","50,429","3,860","42,862","410,531","772,418","58,179","16,159","2,007,064","700,645","50,468","988,899","597,191","327,593","229,571","218,128","78,843","30,660","15,453","20,008","4,528","1,071,024","646,298","356,439","246,791","236,293","86,002","33,419","16,919","21,946","4,928","970,283","565,594","305,538","221,928","208,777","72,819","29,999","12,125","16,535","3,411"
LAFAYETTE  LA (642),"31,176","163,822","21,535","10,047","19,609","8,277","22,043","22,440","22,080","20,833","18,581","18,475","19,873","21,235","19,926","16,770","12,344","22,586","21,328","22,506","21,227","19,087","19,445","21,352","22,819","21,246","18,103","13,895","$58,678 ","$59,497 ","$61,698 ","$61,516 ","$61,156 ","$60,042 ",738,827,634,665,495,418,517,785,"1,083","1,232",701,407,"1,025",346,357,38.3,29.8,31.7,"166,690","72,094","25,001","4,332","15,650","7,886","7,764","627,301","238,784","11,432","263,785",3%,50.8,"$42,074 ","$119,924 ",3%,176891,368584,81826,"438,272","170,736","18,551","2,493","7,773",183,"7,844","5,416","173,464","59,872","2,274","643,777","245,291","11,432","268,679",52,"$41,979 ","$120,734 ",175819,369155,98803,"449,830","175,093","19,162","2,557","8,047",190,"8,060","5,593","178,385","61,358","2,325","615,712","234,208","11,432","259,577",2%,49.8,"$42,315 ","$112,234 ",2%,179128,362876,73708,"431,799","166,869","17,043","2,218","7,349",141,"7,336","4,951","170,879","58,431","2,101","579,585","212,434","10,522","263,785","166,690","72,094","72,216","55,857","22,118","9,741","1,824","3,523","1,411","268,679","171,045","74,246","73,630","57,358","22,870","10,118","1,901","3,700","1,468","259,577","163,687","70,521","75,180","54,465","21,155","7,154","2,819","2,059",855
OMAHA (652),"56,768","255,496","40,151","20,925","47,755","17,690","38,631","36,075","38,447","38,724","35,695","34,891","36,868","38,227","35,552","30,615","22,481","35,104","36,728","37,765","37,782","35,134","34,189","36,588","38,619","36,877","32,263","24,231","$65,845 ","$64,022 ","$70,462 ","$72,833 ","$73,019 ","$71,726 ","1,101",962,"1,000","1,112",908,673,934,"1,639","2,016","2,302","1,479",721,"1,002",656,605,38.1,29.2,29.9,"290,246","142,253","34,240","3,872","26,346","14,449","11,897","1,109,619","432,499","24,237","466,739",4%,50.7,"$54,302 ","$147,745 ",4%,310409,649415,149795,"981,096","74,227","104,508","10,099","20,931","1,323","21,943","25,015","389,976","27,692","6,692","1,151,485","448,623","24,237","480,077",52,"$54,879 ","$148,401 ",311916,659644,179925,"1,015,884","78,511","109,393","10,537","22,129","1,380","23,044","26,206","403,907","29,159","7,009","1,080,375","421,177","24,395","459,076",3%,49.6,"$51,790 ","$145,761 ",3%,307555,636901,135919,"958,133","71,674","98,014","9,453","19,507","1,129","20,479","23,326","381,701","26,349","6,007","988,180","381,980","20,893","466,739","290,246","142,253","81,367","133,534","45,246","16,685","5,795","6,263","1,356","480,077","299,530","149,093","82,718","138,523","47,062","17,302","6,024","6,493","1,408","459,076","285,757","135,420","80,425","136,475","44,315","13,779","3,801","5,868","1,094"
SHERMAN-ADA (657),"17,006","96,501","10,292","5,113","9,042","3,609","11,476","11,233","10,516","9,898","9,462","9,559","10,471","11,384","10,910","10,025","8,568","11,060","10,914","10,416","9,776","9,537","9,856","10,782","11,765","11,567","10,936","9,398","$51,653 ","$51,815 ","$53,777 ","$54,614 ","$54,959 ","$54,616 ",386,423,362,381,307,276,321,401,530,569,258,109,503,116,103,42.5,32.7,32.7,"91,781","39,987","22,794","6,258","9,056","5,287","3,769","335,480","131,768","7,746","154,562",2%,53.9,"$40,020 ","$93,895 ",1%,88566,189153,57761,"269,417","15,828","26,737","30,626","2,581",159,"16,869","6,602","109,697","6,034","1,006","340,439","133,747","7,746","155,824",55,"$40,542 ","$93,940 ",87193,187693,65553,"273,452","16,045","27,171","31,024","2,625",164,"17,129","6,703","111,361","6,051","1,014","331,446","130,215","7,596","153,480",1%,52.8,"$38,551 ","$92,356 ",1%,89717,188602,53127,"267,276","15,084","24,862","30,267","2,297",116,"16,406","6,120","109,038","5,687",843,"307,340","120,407","7,125","154,562","91,781","39,987","48,874","27,709","8,012","3,136",981,"2,003","1,066","155,824","93,028","40,719","49,514","28,114","8,138","3,173",994,"2,031","1,064","153,480","90,946","39,269","49,236","27,801","8,013","2,385","1,049","1,975",487
SAN ANGELO (661),"7,690","39,057","4,455","2,310","4,857","1,922","5,309","6,117","5,965","4,964","4,231","4,176","4,479","4,721","4,705","4,351","3,494","5,712","5,006","5,406","4,694","4,140","4,090","4,561","5,036","4,987","4,589","3,682","$54,258 ","$54,680 ","$58,827 ","$60,180 ","$61,660 ","$62,554 ",245,207,221,152,126,103,110,197,316,286,170,70,237,56,61,38,27.7,32,"38,919","19,097","9,393","3,759","3,752","1,892","1,860","150,724","58,016","7,106","67,409",4%,52.8,"$43,872 ","$90,648 ",4%,39846,86924,23954,"138,938","5,961","55,946","1,668","1,480",159,"2,518","17,323","53,901","2,143",491,"156,407","60,337","7,106","69,556",53.5,"$45,244 ","$90,792 ",40640,88119,27648,"144,068","6,261","57,925","1,732","1,551",168,"2,627","17,972","56,056","2,318",506,"146,813","56,433","7,075","67,107",3%,52,"$39,743 ","$88,384 ",3%,39954,84838,22021,"136,382","5,216","53,552","1,538","1,299",126,"2,252","16,532","52,947","1,797",392,"141,148","53,599","6,033","67,409","38,919","19,097","21,467","11,296","3,193","1,421",942,513,87,"69,556","40,372","19,965","22,233","11,758","3,327","1,484",964,522,84,"67,107","37,993","18,440","21,493","10,715","3,407","1,074",448,520,336
ABILENE-SWTWATR (662),"16,470","83,494","8,932","4,478","9,265","3,650","10,864","12,479","12,024","10,597","9,414","9,197","9,904","10,523","10,022","8,878","7,169","10,893","10,309","10,275","9,052","8,270","8,377","9,233","10,162","9,976","9,380","7,871","$48,088 ","$49,801 ","$53,099 ","$54,544 ","$55,124 ","$54,960 ",573,395,418,415,333,249,297,514,493,491,252,131,471,70,76,39.4,29.4,33,"80,798","37,726","24,719","6,366","7,383","3,976","3,407","311,727","118,524","19,047","143,243",0%,53.2,"$39,555 ","$78,130 ",0%,81752,178656,51319,"279,943","19,616","72,981","3,035","3,281",280,"5,572","20,804","108,844","5,855","1,025","312,622","118,838","19,047","144,020",53.9,"$39,680 ","$78,241 ",79871,175991,56760,"280,610","19,730","73,187","3,040","3,331",285,"5,626","20,884","109,055","6,007","1,034","310,967","118,262","19,020","142,605",0%,52.2,"$39,320 ","$79,422 ",0%,83734,178594,48639,"280,814","18,800","70,821","2,868","3,017",221,"5,247","20,124","109,386","5,423",864,"308,161","114,898","20,127","143,243","80,798","37,726","51,707","19,300","5,703","2,285",790,622,391,"144,020","80,811","38,027","51,642","19,374","5,729","2,276",789,619,382,"142,605","80,794","37,468","50,863","20,040","5,772","1,949",727,957,486
MADISON (669),"53,715","235,363","38,885","20,325","45,516","17,307","33,031","38,004","37,050","34,744","31,325","31,506","33,358","34,624","33,162","28,735","21,074","35,747","31,654","34,928","32,843","30,043","30,672","33,318","35,140","33,761","29,585","22,364","$60,417 ","$63,465 ","$70,178 ","$72,135 ","$72,643 ","$71,597 ","1,183","1,096","1,087","1,043",920,806,868,"1,455","1,916","2,400","1,380",733,"1,259",684,450,39.4,26.4,27.7,"262,685","137,470","31,547","13,480","33,271","19,100","14,171","980,515","400,155","24,496","431,702",4%,50.6,"$55,312 ","$186,185 ",4%,247428,598545,134542,"888,993","38,612","52,190","5,440","29,271",420,"17,779","13,373","371,364","12,940","10,097","1,017,895","416,149","24,496","454,427",51.9,"$56,240 ","$187,735 ",253986,600031,163878,"921,515","40,572","54,488","5,634","31,095",436,"18,643","13,982","385,864","13,533","10,690","955,875","389,447","24,869","429,108",3%,49.2,"$52,851 ","$186,894 ",3%,245821,590060,119994,"870,418","36,908","49,146","5,026","26,644",327,"16,552","12,518","363,259","12,123","8,999","865,482","343,626","24,879","431,702","262,685","137,470","40,738","105,127","65,787","27,311","10,243","11,150","2,329","454,427","272,150","143,999","41,117","108,232","68,973","28,800","10,824","11,775","2,429","429,108","256,557","132,890","42,830","98,335","68,997","23,726","10,442","10,227","2,000"
FT SMH-FY-SP-RG (670),"37,305","220,678","26,097","12,807","23,757","9,945","29,337","29,713","29,326","28,664","27,099","26,702","27,139","26,626","24,044","21,281","17,133","28,739","27,787","28,583","27,914","26,582","26,157","26,912","26,920","25,103","23,104","19,073","$54,203 ","$55,276 ","$60,180 ","$60,702 ","$60,166 ","$59,957 ","1,002","1,184",980,"1,012",816,650,747,"1,161","1,276","1,305",918,389,"1,163",432,304,37.3,27.8,30.4,"205,865","107,660","35,332","5,117","25,397","14,703","10,694","826,458","313,525","16,547","348,857",5%,50.3,"$42,122 ","$128,478 ",5%,233378,480608,112472,"724,162","24,532","102,490","27,536","20,423","5,661","24,144","24,708","280,602","9,379","6,657","866,893","329,016","16,547","358,727",51.4,"$42,655 ","$130,261 ",236916,496074,133903,"760,853","25,724","109,318","27,664","21,657","6,113","24,882","26,422","295,135","9,677","7,011","797,839","302,703","16,174","343,876",4%,49,"$41,051 ","$128,388 ",4%,232219,465307,100313,"701,112","21,331","95,354","27,917","19,110","5,370","22,999","22,830","272,241","7,943","6,132","654,797","250,086","12,694","348,857","205,865","107,660","80,978","77,091","26,589","10,529","4,283","5,597",798,"358,727","215,212","113,804","83,033","81,203","28,262","11,290","4,607","5,983",834,"343,876","199,634","103,069","76,903","80,715","23,199","8,963","3,811","5,079",964
